#wave	flux
1150.0	0.0
1155.0	0.0
1160.0	0.0
1165.0	0.0
1170.0	0.0
1175.0	0.0
1180.0	0.0
1185.0	0.0
1190.0	0.0
1195.0	0.0
1200.0	0.0
1205.0	0.0
1210.0	0.0
1215.0	0.0
1220.0	0.0
1225.0	0.0
1230.0	0.0
1235.0	0.0
1240.0	0.0
1245.0	0.0
1250.0	0.0
1255.0	0.0
1260.0	0.0
1265.0	0.0
1270.0	0.0
1275.0	0.0
1280.0	0.0
1285.0	0.0
1290.0	0.0
1295.0	0.0
1300.0	0.0
1305.0	0.0
1310.0	0.0
1315.0	0.0
1320.0	0.0
1325.0	0.0
1330.0	0.0
1335.0	0.0
1340.0	0.0
1345.0	0.0
1350.0	0.0
1355.0	0.0
1360.0	0.0
1365.0	0.0
1370.0	0.0
1375.0	0.0
1380.0	0.0
1385.0	0.0
1390.0	0.0
1395.0	0.0
1400.0	0.0
1405.0	0.0
1410.0	0.0
1415.0	0.0
1420.0	0.0
1425.0	0.0
1430.0	0.0
1435.0	0.0
1440.0	0.0
1445.0	0.0
1450.0	0.0
1455.0	0.0
1460.0	0.0
1465.0	0.0
1470.0	0.0
1475.0	0.0
1480.0	0.0
1485.0	0.0
1490.0	0.0
1495.0	0.0
1500.0	0.0
1505.0	0.0
1510.0	0.0
1515.0	0.0
1520.0	0.0
1525.0	0.0
1530.0	0.0
1535.0	0.0
1540.0	0.0
1545.0	0.0
1550.0	0.0
1555.0	0.0
1560.0	0.0
1565.0	0.0
1570.0	0.0
1575.0	0.0
1580.0	0.0
1585.0	0.0
1590.0	0.0
1595.0	0.0
1600.0	0.0
1605.0	0.0
1610.0	0.0
1615.0	0.0
1620.0	0.0
1625.0	0.0
1630.0	0.0
1635.0	0.0
1640.0	0.0
1645.0	0.0
1650.0	0.0
1655.0	0.0
1660.0	0.0
1665.0	0.0
1670.0	0.0
1675.0	0.0
1680.0	0.0
1685.0	0.0
1690.0	0.0
1695.0	0.0
1700.0	0.0
1705.0	0.0
1710.0	0.0
1715.0	0.0
1720.0	0.0
1725.0	0.0
1730.0	0.0
1735.0	0.0
1740.0	0.0
1745.0	0.0
1750.0	0.0
1755.0	0.0
1760.0	0.0
1765.0	0.0
1770.0	0.0
1775.0	0.0
1780.0	0.0
1785.0	0.0
1790.0	0.0
1795.0	0.0
1800.0	0.0
1805.0	0.0
1810.0	0.0
1815.0	0.0
1820.0	0.0
1825.0	0.0
1830.0	0.0
1835.0	0.0
1840.0	0.0
1845.0	0.0
1850.0	0.0
1855.0	0.0
1860.0	0.0
1865.0	0.0
1870.0	0.0
1875.0	0.0
1880.0	0.0
1885.0	0.0
1890.0	0.0
1895.0	0.0
1900.0	0.0
1905.0	1e-06
1910.0	3e-06
1915.0	4e-06
1920.0	5e-06
1925.0	6e-06
1930.0	6e-06
1935.0	6e-06
1940.0	5e-06
1945.0	3e-06
1950.0	0.0
1955.0	0.0
1960.0	0.0
1965.0	0.0
1970.0	0.0
1975.0	0.0
1980.0	0.0
1985.0	0.0
1990.0	0.0
1995.0	0.0
2000.0	0.0
2005.0	1.6e-05
2010.0	3.5e-05
2015.0	5.5e-05
2020.0	7.2e-05
2025.0	8.4e-05
2030.0	9e-05
2035.0	8.7e-05
2040.0	7.3e-05
2045.0	4.4e-05
2050.0	0.0
2055.0	0.0
2060.0	0.0
2065.0	0.0
2070.0	0.0
2075.0	0.0
2080.0	0.0
2085.0	0.0
2090.0	0.0
2095.0	0.0
2100.0	0.0
2105.0	0.00023199999999999997
2110.0	0.000524
2115.0	0.000869
2120.0	0.001257
2125.0	0.00168
2130.0	0.00213
2135.0	0.0025989999999999997
2140.0	0.003078
2145.0	0.003558
2150.0	0.004031
2155.0	0.00449
2160.0	0.004935
2165.0	0.005365999999999999
2170.0	0.005785
2175.0	0.00619
2180.0	0.006585
2185.0	0.006968000000000001
2190.0	0.0073420000000000004
2195.0	0.007706
2200.0	0.008062
2205.0	0.008409
2210.0	0.008749
2215.0	0.009079
2220.0	0.0094
2225.0	0.00971
2230.0	0.010009
2235.0	0.010297
2240.0	0.010573
2245.0	0.010836
2250.0	0.011085
2255.0	0.011321
2260.0	0.011544
2265.0	0.011757
2270.0	0.011961
2275.0	0.012158
2280.0	0.01235
2285.0	0.012539
2290.0	0.012725
2295.0	0.012912
2300.0	0.0131
2305.0	0.013290999999999999
2310.0	0.013479
2315.0	0.013656999999999999
2320.0	0.013819999999999999
2325.0	0.013961000000000001
2330.0	0.014072999999999999
2335.0	0.01415
2340.0	0.014186
2345.0	0.014174
2350.0	0.014108
2355.0	0.013987000000000001
2360.0	0.013828
2365.0	0.013656999999999999
2370.0	0.013497
2375.0	0.013372
2380.0	0.013306
2385.0	0.013323
2390.0	0.013446000000000001
2395.0	0.0137
2400.0	0.014108
2405.0	0.014683000000000002
2410.0	0.015390000000000001
2415.0	0.016181
2420.0	0.01701
2425.0	0.017830000000000002
2430.0	0.018594
2435.0	0.019255
2440.0	0.019767
2445.0	0.020082
2450.0	0.020155000000000003
2455.0	0.019953
2460.0	0.019517
2465.0	0.0189
2470.0	0.018156
2475.0	0.017341
2480.0	0.01651
2485.0	0.015716
2490.0	0.015015
2495.0	0.014459999999999999
2500.0	0.014108
2505.0	0.014
2510.0	0.014127
2515.0	0.014469999999999998
2520.0	0.015007
2525.0	0.015719
2530.0	0.016583
2535.0	0.017580000000000002
