#wave	flux	unc
3910	0.058	0.038
3910.819	0.023	0.038
-3911.638	0.011	0.038
-3912.457	0.001	0.038
3913.276	0.013	0.037
3914.095	0.039	0.037
3914.914	0.053	0.037
3915.733	0.018	0.036
-3916.552	0.0	0.036
3917.371	0.022	0.036
3918.19	0.052	0.036
3919.009	0.06	0.035
3919.828	0.073	0.035
3920.647	0.072	0.035
3921.466	0.034	0.035
-3922.285	0.004	0.034
3923.104	0.037	0.034
3923.923	0.041	0.034
3924.742	0.017	0.034
3925.561	0.03	0.033
3926.38	0.035	0.033
3927.199	0.006	0.033
3928.018	0.013	0.033
3928.837	0.064	0.032
3929.656	0.065	0.032
3930.475	0.063	0.032
3931.294	0.05	0.032
3932.113	0.018	0.032
3932.932	0.008	0.031
3933.751	0.049	0.031
3934.57	0.058	0.031
3935.389	0.028	0.031
3936.208	0.035	0.031
3937.027	0.048	0.03
3937.846	0.027	0.03
3938.665	0.006	0.03
3939.484	0.027	0.03
3940.303	0.034	0.03
3941.122	0.028	0.029
3941.941	0.025	0.029
3942.76	0.024	0.029
3943.579	0.012	0.029
3944.398	0.014	0.029
3945.217	0.031	0.029
3946.036	0.039	0.028
3946.855	0.029	0.028
3947.674	0.031	0.028
3948.493	0.042	0.028
3949.312	0.039	0.028
3950.131	0.021	0.028
3950.95	0.033	0.027
3951.769	0.048	0.027
3952.588	0.038	0.027
3953.407	0.024	0.027
3954.226	0.039	0.027
3955.045	0.038	0.027
3955.864	0.028	0.026
3956.683	0.05	0.026
3957.502	0.058	0.026
3958.321	0.059	0.026
3959.14	0.049	0.026
3959.959	0.024	0.026
3960.778	0.022	0.026
3961.597	0.032	0.026
3962.416	0.028	0.025
3963.235	0.018	0.025
3964.054	0.037	0.025
3964.873	0.036	0.025
3965.692	0.018	0.025
3966.511	0.015	0.025
3967.33	0.033	0.025
3968.149	0.027	0.025
3968.968	0.025	0.024
3969.787	0.043	0.024
3970.606	0.041	0.024
3971.425	0.016	0.024
-3972.244	0.002	0.024
3973.063	0.003	0.024
3973.882	0.021	0.024
3974.701	0.038	0.024
3975.52	0.047	0.024
3976.339	0.041	0.024
3977.158	0.023	0.023
3977.977	0.023	0.023
3978.796	0.055	0.023
3979.615	0.08	0.024
3980.434	0.067	0.023
3981.253	0.054	0.023
3982.072	0.046	0.023
3982.891	0.041	0.023
3983.71	0.05	0.023
3984.529	0.075	0.022
3985.348	0.059	0.022
3986.167	0.043	0.022
3986.986	0.064	0.022
3987.805	0.073	0.022
3988.624	0.065	0.022
3989.443	0.07	0.022
3990.262	0.079	0.022
3991.081	0.056	0.022
3991.9	0.048	0.022
3992.719	0.051	0.022
3993.538	0.048	0.021
3994.357	0.046	0.021
3995.176	0.054	0.021
3995.995	0.055	0.021
3996.814	0.065	0.021
3997.633	0.089	0.021
3998.452	0.061	0.021
3999.271	0.047	0.021
4000.09	0.072	0.021
4000.909	0.094	0.021
4001.728	0.072	0.02
4002.547	0.061	0.021
4003.366	0.074	0.021
4004.185	0.082	0.021
4005.004	0.075	0.021
4005.823	0.071	0.02
4006.642	0.083	0.02
4007.461	0.088	0.021
4008.28	0.056	0.02
4009.099	0.04	0.02
4009.918	0.053	0.02
4010.737	0.07	0.02
4011.556	0.06	0.02
4012.375	0.043	0.02
4013.194	0.037	0.02
4014.013	0.052	0.02
4014.832	0.07	0.02
4015.651	0.054	0.02
4016.47	0.047	0.019
4017.289	0.063	0.019
4018.108	0.072	0.019
4018.927	0.062	0.019
4019.746	0.054	0.019
4020.565	0.061	0.019
4021.384	0.072	0.02
4022.203	0.075	0.02
4023.022	0.071	0.02
4023.841	0.063	0.019
4024.66	0.055	0.02
4025.479	0.052	0.02
4026.298	0.055	0.02
4027.117	0.065	0.021
4027.936	0.073	0.022
4028.755	0.065	0.023
4029.574	0.057	0.023
4030.393	0.067	0.021
4031.212	0.084	0.021
4032.031	0.077	0.022
4032.85	0.054	0.021
4033.669	0.048	0.02
4034.488	0.057	0.019
4035.307	0.06	0.019
4036.126	0.049	0.019
4036.945	0.024	0.018
4037.764	0.031	0.018
4038.583	0.076	0.019
4039.402	0.08	0.02
4040.221	0.075	0.019
4041.04	0.072	0.019
4041.859	0.07	0.019
4042.678	0.084	0.02
4043.497	0.079	0.02
4044.316	0.064	0.019
4045.135	0.06	0.019
4045.954	0.061	0.019
4046.773	0.055	0.018
4047.592	0.063	0.018
4048.411	0.078	0.02
4049.23	0.072	0.021
4050.049	0.079	0.03
4050.868	0.079	0.043
4051.687	0.043	0.053
-4052.506	0.001	0.053
4053.325	0.03	0.048
4054.144	0.051	0.042
4054.963	0.047	0.037
4055.782	0.063	0.033
4056.601	0.082	0.028
4057.42	0.083	0.024
4058.239	0.067	0.021
4059.058	0.057	0.019
4059.877	0.072	0.019
4060.696	0.076	0.019
4061.515	0.071	0.019
4062.334	0.066	0.019
4063.153	0.056	0.018
4063.972	0.058	0.018
4064.791	0.061	0.018
4065.61	0.056	0.018
4066.429	0.05	0.018
4067.248	0.051	0.018
4068.067	0.053	0.017
4068.886	0.059	0.017
4069.705	0.069	0.017
4070.524	0.062	0.018
4071.343	0.064	0.018
4072.162	0.076	0.018
4072.981	0.075	0.018
4073.8	0.06	0.017
4074.619	0.053	0.016
4075.438	0.053	0.016
4076.257	0.047	0.016
4077.076	0.041	0.016
4077.895	0.044	0.016
4078.714	0.051	0.016
4079.533	0.058	0.017
4080.352	0.061	0.017
4081.171	0.061	0.019
4081.99	0.051	0.02
4082.809	0.036	0.021
4083.628	0.036	0.019
4084.447	0.049	0.018
4085.266	0.044	0.018
4086.085	0.035	0.018
4086.904	0.062	0.02
4087.723	0.079	0.02
4088.542	0.059	0.018
4089.361	0.041	0.016
4090.18	0.066	0.018
4090.999	0.077	0.019
4091.818	0.074	0.018
4092.637	0.071	0.018
4093.456	0.064	0.017
4094.275	0.048	0.016
4095.094	0.036	0.015
4095.913	0.037	0.015
4096.732	0.043	0.015
4097.551	0.037	0.015
4098.37	0.025	0.015
4099.189	0.036	0.015
4100.008	0.058	0.016
4100.827	0.04	0.015
4101.646	0.025	0.015
4102.465	0.036	0.016
4103.284	0.059	0.016
4104.103	0.066	0.016
4104.922	0.044	0.016
4105.741	0.027	0.015
4106.56	0.035	0.015
4107.379	0.051	0.015
4108.198	0.049	0.015
4109.017	0.039	0.015
4109.836	0.044	0.015
4110.655	0.062	0.015
4111.474	0.057	0.015
4112.293	0.051	0.015
4113.112	0.049	0.015
4113.931	0.044	0.015
4114.75	0.048	0.015
4115.569	0.047	0.015
4116.388	0.035	0.015
4117.207	0.024	0.015
4118.026	0.033	0.015
4118.845	0.042	0.015
4119.664	0.052	0.015
4120.483	0.053	0.015
4121.302	0.031	0.015
4122.121	0.032	0.015
4122.94	0.047	0.015
4123.759	0.055	0.015
4124.578	0.059	0.015
4125.397	0.071	0.016
4126.216	0.07	0.016
4127.035	0.06	0.016
4127.854	0.061	0.017
4128.673	0.054	0.016
4129.492	0.058	0.016
4130.311	0.069	0.017
4131.13	0.066	0.017
4131.949	0.052	0.016
4132.768	0.046	0.015
4133.587	0.045	0.015
4134.406	0.049	0.015
4135.225	0.073	0.016
4136.044	0.069	0.017
4136.863	0.057	0.017
4137.682	0.063	0.018
4138.501	0.064	0.017
4139.32	0.055	0.016
4140.139	0.051	0.016
4140.958	0.054	0.017
4141.777	0.048	0.016
4142.596	0.04	0.016
4143.415	0.042	0.016
4144.234	0.044	0.016
4145.053	0.034	0.016
4145.872	0.026	0.016
4146.691	0.027	0.016
4147.51	0.037	0.016
4148.329	0.046	0.016
4149.148	0.047	0.016
4149.967	0.053	0.016
4150.786	0.057	0.016
4151.605	0.051	0.016
4152.424	0.048	0.015
4153.243	0.051	0.016
4154.062	0.056	0.017
4154.881	0.06	0.018
4155.7	0.063	0.019
4156.519	0.081	0.02
4157.338	0.091	0.019
4158.157	0.071	0.018
4158.976	0.047	0.017
4159.795	0.061	0.017
4160.614	0.068	0.018
4161.433	0.042	0.016
4162.252	0.033	0.015
4163.071	0.063	0.017
4163.89	0.069	0.017
4164.709	0.047	0.015
4165.528	0.05	0.015
4166.347	0.054	0.017
4167.166	0.056	0.017
4167.985	0.04	0.017
4168.804	0.016	0.018
4169.623	0.046	0.019
4170.442	0.057	0.019
4171.261	0.052	0.018
4172.08	0.065	0.019
4172.899	0.065	0.018
4173.718	0.079	0.02
4174.537	0.071	0.019
4175.356	0.043	0.016
4176.175	0.06	0.016
4176.994	0.053	0.016
4177.813	0.053	0.016
4178.632	0.072	0.017
4179.451	0.052	0.016
4180.27	0.024	0.015
4181.089	0.028	0.015
4181.908	0.059	0.017
4182.727	0.073	0.018
4183.546	0.054	0.018
4184.365	0.042	0.017
4185.184	0.052	0.016
4186.003	0.06	0.016
4186.822	0.05	0.016
4187.641	0.054	0.016
4188.46	0.067	0.016
4189.279	0.062	0.016
4190.098	0.052	0.016
4190.917	0.057	0.017
4191.736	0.057	0.017
4192.555	0.041	0.016
4193.374	0.036	0.016
4194.193	0.05	0.017
4195.012	0.061	0.017
4195.831	0.053	0.017
4196.65	0.034	0.016
4197.469	0.04	0.016
4198.288	0.044	0.016
4199.107	0.047	0.016
4199.926	0.076	0.016
4200.745	0.079	0.018
4201.564	0.068	0.018
4202.383	0.058	0.016
4203.202	0.047	0.015
4204.021	0.054	0.016
4204.84	0.047	0.015
4205.659	0.054	0.016
4206.478	0.087	0.018
4207.297	0.065	0.017
4208.116	0.049	0.016
4208.935	0.059	0.017
4209.754	0.065	0.018
4210.573	0.062	0.017
4211.392	0.064	0.018
4212.211	0.055	0.018
4213.03	0.044	0.017
4213.849	0.068	0.019
4214.668	0.07	0.019
4215.487	0.064	0.018
4216.306	0.069	0.018
4217.125	0.067	0.018
4217.944	0.057	0.018
4218.763	0.049	0.017
4219.582	0.052	0.017
4220.401	0.056	0.017
4221.22	0.041	0.017
4222.039	0.034	0.016
4222.858	0.053	0.016
4223.677	0.075	0.017
4224.496	0.059	0.017
4225.315	0.041	0.016
4226.134	0.042	0.015
4226.953	0.047	0.015
4227.772	0.042	0.015
4228.591	0.052	0.016
4229.41	0.054	0.016
4230.229	0.032	0.015
4231.048	0.033	0.014
4231.867	0.045	0.015
4232.686	0.054	0.016
4233.505	0.055	0.017
4234.324	0.047	0.017
4235.143	0.035	0.018
4235.962	0.029	0.017
4236.781	0.036	0.016
4237.6	0.055	0.017
4238.419	0.071	0.018
4239.238	0.06	0.018
4240.057	0.045	0.016
4240.876	0.06	0.018
4241.695	0.063	0.018
4242.514	0.057	0.018
4243.333	0.052	0.018
4244.152	0.054	0.017
4244.971	0.06	0.017
4245.79	0.052	0.017
4246.609	0.043	0.015
4247.428	0.055	0.016
4248.247	0.077	0.019
4249.066	0.084	0.022
4249.885	0.072	0.023
4250.704	0.053	0.023
4251.523	0.043	0.022
4252.342	0.056	0.021
4253.161	0.054	0.02
4253.98	0.04	0.019
4254.799	0.058	0.018
4255.618	0.073	0.018
4256.437	0.085	0.019
4257.256	0.079	0.019
4258.075	0.045	0.017
4258.894	0.053	0.018
4259.713	0.067	0.019
4260.532	0.053	0.017
4261.351	0.034	0.016
4262.17	0.047	0.017
4262.989	0.053	0.018
4263.808	0.049	0.017
4264.627	0.057	0.017
4265.446	0.062	0.017
4266.265	0.049	0.017
4267.084	0.036	0.016
4267.903	0.038	0.017
4268.722	0.038	0.016
4269.541	0.041	0.016
4270.36	0.043	0.016
4271.179	0.048	0.016
4271.998	0.061	0.017
4272.817	0.058	0.016
4273.636	0.05	0.016
4274.455	0.047	0.017
4275.274	0.04	0.017
4276.093	0.045	0.017
4276.912	0.052	0.017
4277.731	0.056	0.017
4278.55	0.062	0.017
4279.369	0.067	0.018
4280.188	0.056	0.018
4281.007	0.049	0.018
4281.826	0.062	0.02
4282.645	0.063	0.019
4283.464	0.056	0.018
4284.283	0.055	0.018
4285.102	0.06	0.018
4285.921	0.055	0.017
4286.74	0.064	0.019
4287.559	0.075	0.02
4288.378	0.071	0.019
4289.197	0.064	0.018
4290.016	0.056	0.017
4290.835	0.054	0.017
4291.654	0.061	0.017
4292.473	0.073	0.018
4293.292	0.064	0.017
4294.111	0.056	0.016
4294.93	0.059	0.017
4295.749	0.054	0.017
4296.568	0.05	0.016
4297.387	0.039	0.016
4298.206	0.04	0.016
4299.025	0.064	0.017
4299.844	0.061	0.017
4300.663	0.044	0.016
4301.482	0.042	0.016
4302.301	0.06	0.017
4303.12	0.061	0.017
4303.939	0.052	0.017
4304.758	0.063	0.018
4305.577	0.082	0.019
4306.396	0.06	0.017
4307.215	0.049	0.016
4308.034	0.055	0.018
4308.853	0.057	0.018
4309.672	0.05	0.017
4310.491	0.059	0.018
4311.31	0.073	0.019
4312.129	0.077	0.018
4312.948	0.066	0.019
4313.767	0.05	0.018
4314.586	0.055	0.018
4315.405	0.083	0.02
4316.224	0.098	0.022
4317.043	0.066	0.022
4317.862	0.058	0.021
4318.681	0.072	0.02
4319.5	0.058	0.019
4320.319	0.044	0.019
4321.138	0.049	0.02
4321.957	0.058	0.02
4322.776	0.063	0.02
4323.595	0.082	0.022
4324.414	0.093	0.022
4325.233	0.085	0.021
4326.052	0.073	0.021
4326.871	0.079	0.022
4327.69	0.072	0.021
