#wave	flux	unc
3910	0.133	0.015
3910.819	0.126	0.014
3911.638	0.125	0.014
3912.457	0.136	0.015
3913.276	0.143	0.015
3914.095	0.145	0.015
3914.914	0.149	0.015
3915.733	0.151	0.015
3916.552	0.14	0.015
3917.371	0.129	0.014
3918.19	0.124	0.014
3919.009	0.121	0.014
3919.828	0.114	0.013
3920.647	0.105	0.013
3921.466	0.093	0.012
3922.285	0.082	0.012
3923.104	0.089	0.012
3923.923	0.089	0.012
3924.742	0.086	0.012
3925.561	0.089	0.011
3926.38	0.091	0.012
3927.199	0.093	0.012
3928.018	0.092	0.012
3928.837	0.087	0.012
3929.656	0.084	0.011
3930.475	0.076	0.011
3931.294	0.066	0.01
3932.113	0.056	0.01
3932.932	0.047	0.009
3933.751	0.038	0.008
3934.57	0.035	0.008
3935.389	0.039	0.008
3936.208	0.046	0.009
3937.027	0.044	0.008
3937.846	0.05	0.008
3938.665	0.071	0.009
3939.484	0.09	0.01
3940.303	0.088	0.01
3941.122	0.089	0.01
3941.941	0.096	0.011
3942.76	0.1	0.011
3943.579	0.1	0.011
3944.398	0.096	0.011
3945.217	0.088	0.011
3946.036	0.086	0.011
3946.855	0.103	0.011
3947.674	0.098	0.011
3948.493	0.088	0.011
3949.312	0.098	0.011
3950.131	0.119	0.012
3950.95	0.13	0.012
3951.769	0.138	0.012
3952.588	0.152	0.013
3953.407	0.162	0.013
3954.226	0.159	0.013
3955.045	0.163	0.013
3955.864	0.164	0.013
3956.683	0.144	0.012
3957.502	0.143	0.012
3958.321	0.137	0.012
3959.14	0.122	0.012
3959.959	0.114	0.011
3960.778	0.1	0.011
3961.597	0.085	0.01
3962.416	0.075	0.01
3963.235	0.073	0.01
3964.054	0.073	0.01
3964.873	0.08	0.01
3965.692	0.087	0.01
3966.511	0.085	0.01
3967.33	0.083	0.009
3968.149	0.072	0.009
3968.968	0.058	0.008
3969.787	0.052	0.008
3970.606	0.051	0.008
3971.425	0.059	0.008
3972.244	0.073	0.008
3973.063	0.087	0.008
3973.882	0.101	0.009
3974.701	0.11	0.009
3975.52	0.117	0.01
3976.339	0.125	0.01
