#wave	flux	unc
-3910	0.009	0.898
-3910.819	0.062	0.891
-3911.638	0.36	0.884
-3912.457	0.205	0.877
-3913.276	0.2	0.87
-3914.095	0.105	0.863
-3914.914	0.149	0.855
-3915.733	0.699	0.848
-3916.552	0.27	0.841
3917.371	0.101	0.834
-3918.19	0.121	0.827
-3919.009	0.183	0.82
3919.828	0.054	0.813
-3920.647	0.102	0.806
-3921.466	0.23	0.799
3922.285	0.224	0.792
3923.104	0.367	0.785
3923.923	0.145	0.778
-3924.742	0.217	0.771
-3925.561	0.287	0.765
3926.38	0.153	0.758
-3927.199	0.331	0.751
-3928.018	0.842	0.744
-3928.837	0.471	0.738
-3929.656	0.12	0.731
-3930.475	0.061	0.724
3931.294	0.241	0.718
3932.113	0.624	0.711
3932.932	0.3	0.705
-3933.751	0.221	0.698
-3934.57	0.029	0.692
3935.389	0.267	0.685
-3936.208	0.189	0.679
3937.027	0.022	0.673
3937.846	0.42	0.667
3938.665	0.49	0.66
3939.484	0.303	0.654
3940.303	0.049	0.648
3941.122	0.281	0.642
3941.941	0.644	0.636
3942.76	0.462	0.63
-3943.579	0.078	0.624
3944.398	0.131	0.619
3945.217	0.361	0.613
3946.036	0.034	0.607
-3946.855	0.041	0.601
-3947.674	0.126	0.596
-3948.493	0.194	0.59
-3949.312	0.027	0.585
3950.131	0.366	0.579
3950.95	0.633	0.574
3951.769	0.657	0.568
3952.588	0.461	0.563
3953.407	0.199	0.558
3954.226	0.211	0.554
3955.045	0.514	0.542
3955.864	0.728	0.527
3956.683	0.471	0.519
-3957.502	0.039	0.515
3958.321	0.167	0.51
3959.14	0.348	0.506
-3959.959	0.067	0.501
3960.778	0.139	0.497
3961.597	0.224	0.492
3962.416	0.196	0.488
3963.235	0.455	0.484
3964.054	0.784	0.479
3964.873	0.637	0.475
3965.692	0.354	0.471
3966.511	0.249	0.467
3967.33	0.13	0.463
-3968.149	0.014	0.459
-3968.968	0.092	0.455
-3969.787	0.03	0.451
3970.606	0.119	0.447
3971.425	0.161	0.443
3972.244	0.205	0.439
3973.063	0.228	0.436
3973.882	0.171	0.432
3974.701	0.193	0.428
3975.52	0.008	0.425
-3976.339	0.103	0.421
3977.158	0.069	0.417
-3977.977	0.016	0.414
-3978.796	0.197	0.41
-3979.615	0.016	0.407
3980.434	0.332	0.404
3981.253	0.092	0.4
-3982.072	0.197	0.397
-3982.891	0.011	0.394
3983.71	0.333	0.391
3984.529	0.221	0.387
3985.348	0.251	0.384
3986.167	0.129	0.381
-3986.986	0.058	0.378
3987.805	0.137	0.377
3988.624	0.164	0.383
3989.443	0.067	0.385
3990.262	0.144	0.38
3991.081	0.407	0.377
3991.9	0.428	0.374
3992.719	0.211	0.371
3993.538	0.064	0.369
3994.357	0.122	0.366
3995.176	0.132	0.363
3995.995	0.159	0.36
3996.814	0.172	0.357
3997.633	0.16	0.354
3998.452	0.229	0.352
3999.271	0.267	0.349
4000.09	0.194	0.346
4000.909	0.093	0.344
4001.728	0.068	0.341
-4002.547	0.047	0.339
4003.366	0.13	0.336
4004.185	0.347	0.334
4005.004	0.085	0.331
4005.823	0.069	0.329
-4006.642	0.012	0.327
-4007.461	0.18	0.324
-4008.28	0.092	0.322
4009.099	0.089	0.32
4009.918	0.332	0.318
4010.737	0.229	0.316
-4011.556	0.096	0.313
4012.375	0.32	0.311
4013.194	0.264	0.309
4014.013	0.027	0.307
4014.832	0.231	0.305
4015.651	0.292	0.303
4016.47	0.165	0.301
4017.289	0.005	0.299
-4018.108	0.027	0.297
4018.927	0.077	0.295
4019.746	0.066	0.293
4020.565	0.054	0.291
4021.384	0.117	0.289
4022.203	0.139	0.288
4023.022	0.118	0.286
4023.841	0.193	0.284
4024.66	0.33	0.282
4025.479	0.349	0.281
4026.298	0.236	0.279
4027.117	0.214	0.277
4027.936	0.236	0.276
4028.755	0.194	0.274
4029.574	0.247	0.272
4030.393	0.289	0.271
4031.212	0.222	0.269
4032.031	0.126	0.267
4032.85	0.189	0.266
4033.669	0.326	0.264
4034.488	0.205	0.263
-4035.307	0.083	0.261
-4036.126	0.057	0.26
4036.945	0.081	0.258
4037.764	0.2	0.257
4038.583	0.181	0.255
4039.402	0.048	0.254
4040.221	0.218	0.253
4041.04	0.25	0.251
4041.859	0.083	0.25
4042.678	0.102	0.248
4043.497	0.225	0.247
4044.316	0.23	0.245
4045.135	0.21	0.245
4045.954	0.337	0.243
4046.773	0.417	0.237
4047.592	0.165	0.265
4048.411	0.095	0.304
4049.23	0.405	0.301
4050.049	0.34	0.255
4050.868	0.112	0.233
4051.687	0.164	0.234
4052.506	0.403	0.233
4053.325	0.356	0.232
4054.144	0.309	0.231
4054.963	0.236	0.23
4055.782	0.133	0.229
4056.601	0.154	0.228
4057.42	0.229	0.226
4058.239	0.215	0.225
4059.058	0.195	0.224
4059.877	0.291	0.223
4060.696	0.301	0.222
4061.515	0.183	0.221
4062.334	0.132	0.22
4063.153	0.209	0.219
4063.972	0.149	0.218
4064.791	0.152	0.217
4065.61	0.181	0.216
4066.429	0.098	0.215
4067.248	0.008	0.214
4068.067	0.037	0.213
4068.886	0.168	0.212
4069.705	0.195	0.211
4070.524	0.018	0.21
4071.343	0.12	0.209
4072.162	0.163	0.208
4072.981	0.048	0.207
4073.8	0.155	0.207
4074.619	0.237	0.206
4075.438	0.178	0.205
4076.257	0.08	0.204
4077.076	0.044	0.203
-4077.895	0.013	0.202
4078.714	0.012	0.201
