#wave	flux	unc
3910	0.109	0.086
3910.819	0.117	0.083
3911.638	0.054	0.083
-3912.457	0.035	0.082
-3913.276	0.006	0.081
3914.095	0.126	0.081
3914.914	0.145	0.081
3915.733	0.104	0.079
3916.552	0.071	0.078
3917.371	0.065	0.078
3918.19	0.068	0.076
3919.009	0.083	0.073
3919.828	0.079	0.071
3920.647	0.07	0.069
3921.466	0.087	0.069
3922.285	0.05	0.067
3923.104	0.013	0.065
3923.923	0.049	0.066
3924.742	0.116	0.064
3925.561	0.073	0.062
3926.38	0.063	0.062
3927.199	0.103	0.063
3928.018	0.09	0.062
3928.837	0.078	0.061
3929.656	0.07	0.06
3930.475	0.052	0.059
3931.294	0.035	0.057
3932.113	0.048	0.055
3932.932	0.041	0.055
3933.751	0.035	0.055
3934.57	0.05	0.054
3935.389	0.039	0.052
3936.208	0.029	0.052
3937.027	0.038	0.053
3937.846	0.058	0.053
3938.665	0.071	0.052
3939.484	0.072	0.051
3940.303	0.053	0.051
3941.122	0.029	0.05
3941.941	0.031	0.049
3942.76	0.045	0.05
3943.579	0.069	0.051
3944.398	0.081	0.05
3945.217	0.048	0.05
3946.036	0.006	0.05
3946.855	0.029	0.05
3947.674	0.071	0.05
3948.493	0.051	0.05
3949.312	0.057	0.05
3950.131	0.076	0.049
3950.95	0.07	0.049
3951.769	0.053	0.047
3952.588	0.088	0.048
3953.407	0.118	0.048
3954.226	0.098	0.048
3955.045	0.067	0.048
3955.864	0.097	0.047
3956.683	0.123	0.047
3957.502	0.103	0.046
3958.321	0.078	0.045
3959.14	0.105	0.045
3959.959	0.087	0.045
3960.778	0.042	0.044
3961.597	0.023	0.042
3962.416	0.018	0.041
3963.235	0.022	0.041
3964.054	0.039	0.042
3964.873	0.058	0.042
3965.692	0.061	0.041
3966.511	0.062	0.04
3967.33	0.046	0.039
3968.149	0.033	0.039
3968.968	0.053	0.039
3969.787	0.047	0.038
3970.606	0.042	0.037
3971.425	0.068	0.038
3972.244	0.1	0.039
3973.063	0.073	0.039
3973.882	0.056	0.038
3974.701	0.075	0.038
3975.52	0.09	0.039
3976.339	0.09	0.038
3977.158	0.12	0.04
3977.977	0.147	0.041
3978.796	0.137	0.04
3979.615	0.128	0.041
3980.434	0.111	0.04
3981.253	0.097	0.04
3982.072	0.089	0.04
3982.891	0.07	0.039
3983.71	0.076	0.038
3984.529	0.105	0.039
3985.348	0.128	0.04
3986.167	0.129	0.039
3986.986	0.125	0.04
3987.805	0.116	0.039
3988.624	0.116	0.038
3989.443	0.132	0.038
3990.262	0.103	0.037
3991.081	0.095	0.037
3991.9	0.109	0.038
3992.719	0.087	0.037
3993.538	0.083	0.037
3994.357	0.109	0.038
3995.176	0.124	0.038
3995.995	0.106	0.037
3996.814	0.109	0.038
3997.633	0.117	0.038
3998.452	0.118	0.038
3999.271	0.11	0.037
4000.09	0.083	0.037
4000.909	0.091	0.037
4001.728	0.116	0.037
4002.547	0.117	0.038
4003.366	0.115	0.037
4004.185	0.105	0.037
4005.004	0.109	0.037
4005.823	0.126	0.037
4006.642	0.125	0.037
4007.461	0.128	0.037
4008.28	0.13	0.036
4009.099	0.117	0.036
4009.918	0.092	0.035
4010.737	0.097	0.036
4011.556	0.124	0.037
4012.375	0.138	0.037
4013.194	0.127	0.037
4014.013	0.136	0.038
4014.832	0.152	0.038
4015.651	0.156	0.038
4016.47	0.147	0.037
4017.289	0.135	0.036
4018.108	0.128	0.036
4018.927	0.123	0.036
4019.746	0.115	0.035
4020.565	0.122	0.036
4021.384	0.151	0.037
4022.203	0.167	0.038
4023.022	0.142	0.038
4023.841	0.11	0.038
4024.66	0.102	0.038
4025.479	0.121	0.039
4026.298	0.133	0.038
4027.117	0.113	0.037
4027.936	0.132	0.037
4028.755	0.167	0.039
4029.574	0.162	0.039
4030.393	0.117	0.037
4031.212	0.114	0.036
4032.031	0.123	0.035
4032.85	0.118	0.035
4033.669	0.123	0.035
4034.488	0.116	0.035
4035.307	0.094	0.033
4036.126	0.079	0.032
4036.945	0.092	0.033
4037.764	0.116	0.035
4038.583	0.133	0.036
4039.402	0.134	0.036
4040.221	0.128	0.036
4041.04	0.133	0.035
4041.859	0.14	0.036
4042.678	0.142	0.036
4043.497	0.145	0.036
4044.316	0.149	0.036
4045.135	0.138	0.036
4045.954	0.118	0.035
4046.773	0.111	0.035
4047.592	0.124	0.04
4048.411	0.123	0.048
4049.23	0.109	0.055
4050.049	0.109	0.057
4050.868	0.139	0.055
4051.687	0.178	0.052
4052.506	0.184	0.048
4053.325	0.152	0.043
4054.144	0.13	0.039
4054.963	0.154	0.038
4055.782	0.191	0.037
4056.601	0.192	0.037
4057.42	0.16	0.037
4058.239	0.147	0.036
4059.058	0.137	0.036
4059.877	0.139	0.035
4060.696	0.165	0.036
4061.515	0.158	0.035
4062.334	0.151	0.035
4063.153	0.154	0.034
4063.972	0.141	0.034
4064.791	0.124	0.033
4065.61	0.115	0.033
4066.429	0.11	0.033
4067.248	0.11	0.033
4068.067	0.125	0.033
4068.886	0.133	0.034
4069.705	0.139	0.035
4070.524	0.145	0.035
4071.343	0.123	0.034
4072.162	0.103	0.033
4072.981	0.102	0.033
4073.8	0.11	0.032
4074.619	0.108	0.032
4075.438	0.12	0.033
4076.257	0.131	0.033
4077.076	0.125	0.032
4077.895	0.117	0.032
4078.714	0.136	0.034
4079.533	0.139	0.035
4080.352	0.124	0.036
4081.171	0.133	0.036
4081.99	0.124	0.036
4082.809	0.121	0.035
4083.628	0.131	0.035
4084.447	0.134	0.035
4085.266	0.163	0.035
4086.085	0.169	0.035
4086.904	0.148	0.034
4087.723	0.138	0.034
4088.542	0.153	0.034
4089.361	0.169	0.035
4090.18	0.174	0.035
4090.999	0.167	0.035
4091.818	0.144	0.033
4092.637	0.149	0.033
4093.456	0.17	0.034
4094.275	0.166	0.034
