#wave	flux	unc
3910	0.133	0.041
3910.819	0.164	0.043
3911.638	0.171	0.045
3912.457	0.159	0.042
3913.276	0.151	0.04
3914.095	0.158	0.04
3914.914	0.171	0.041
3915.733	0.17	0.041
3916.552	0.156	0.039
3917.371	0.15	0.039
3918.19	0.154	0.04
3919.009	0.161	0.039
3919.828	0.183	0.039
3920.647	0.166	0.037
3921.466	0.117	0.035
3922.285	0.099	0.034
3923.104	0.093	0.033
3923.923	0.098	0.032
3924.742	0.103	0.032
3925.561	0.098	0.032
3926.38	0.104	0.033
3927.199	0.09	0.032
3928.018	0.083	0.03
3928.837	0.106	0.031
3929.656	0.101	0.03
3930.475	0.091	0.029
3931.294	0.09	0.028
3932.113	0.083	0.028
3932.932	0.058	0.026
3933.751	0.045	0.025
3934.57	0.044	0.025
3935.389	0.041	0.024
3936.208	0.043	0.024
3937.027	0.061	0.025
3937.846	0.075	0.025
3938.665	0.069	0.026
3939.484	0.061	0.026
3940.303	0.069	0.025
3941.122	0.092	0.026
3941.941	0.108	0.027
3942.76	0.104	0.027
3943.579	0.11	0.027
3944.398	0.108	0.026
3945.217	0.091	0.025
3946.036	0.088	0.024
3946.855	0.115	0.026
3947.674	0.122	0.026
3948.493	0.127	0.027
3949.312	0.156	0.028
3950.131	0.132	0.027
3950.95	0.135	0.027
3951.769	0.169	0.028
3952.588	0.182	0.029
3953.407	0.184	0.029
3954.226	0.171	0.028
3955.045	0.175	0.028
3955.864	0.202	0.029
3956.683	0.191	0.029
3957.502	0.168	0.027
3958.321	0.16	0.027
3959.14	0.157	0.026
3959.959	0.138	0.025
3960.778	0.127	0.025
3961.597	0.118	0.024
3962.416	0.103	0.023
3963.235	0.085	0.022
3964.054	0.074	0.021
3964.873	0.072	0.021
3965.692	0.084	0.022
3966.511	0.106	0.022
3967.33	0.119	0.022
3968.149	0.093	0.021
3968.968	0.059	0.019
3969.787	0.065	0.019
3970.606	0.073	0.019
3971.425	0.058	0.018
3972.244	0.049	0.018
3973.063	0.076	0.02
3973.882	0.108	0.022
3974.701	0.121	0.022
3975.52	0.128	0.022
3976.339	0.146	0.023
3977.158	0.164	0.024
3977.977	0.167	0.024
3978.796	0.169	0.024
3979.615	0.178	0.024
3980.434	0.183	0.025
3981.253	0.185	0.024
3982.072	0.183	0.024
3982.891	0.178	0.024
3983.71	0.179	0.024
3984.529	0.191	0.024
3985.348	0.194	0.024
3986.167	0.188	0.024
3986.986	0.191	0.024
3987.805	0.193	0.024
3988.624	0.193	0.024
3989.443	0.203	0.024
3990.262	0.216	0.025
3991.081	0.197	0.024
3991.9	0.181	0.023
3992.719	0.191	0.024
3993.538	0.211	0.024
3994.357	0.216	0.025
3995.176	0.209	0.024
3995.995	0.205	0.024
3996.814	0.206	0.024
3997.633	0.208	0.024
3998.452	0.195	0.023
3999.271	0.177	0.022
4000.09	0.171	0.022
4000.909	0.174	0.022
4001.728	0.171	0.022
4002.547	0.188	0.023
4003.366	0.219	0.024
4004.185	0.207	0.023
4005.004	0.209	0.023
4005.823	0.215	0.023
4006.642	0.199	0.023
4007.461	0.192	0.022
4008.28	0.203	0.023
4009.099	0.217	0.023
4009.918	0.216	0.023
4010.737	0.205	0.023
4011.556	0.206	0.023
4012.375	0.223	0.024
4013.194	0.241	0.024
4014.013	0.241	0.024
4014.832	0.227	0.024
4015.651	0.211	0.023
4016.47	0.211	0.023
4017.289	0.225	0.023
4018.108	0.23	0.024
4018.927	0.223	0.023
4019.746	0.225	0.023
4020.565	0.244	0.024
4021.384	0.256	0.024
4022.203	0.245	0.024
4023.022	0.228	0.023
4023.841	0.216	0.022
4024.66	0.201	0.022
4025.479	0.21	0.023
4026.298	0.219	0.023
4027.117	0.209	0.022
4027.936	0.212	0.022
4028.755	0.221	0.023
4029.574	0.225	0.023
4030.393	0.22	0.022
4031.212	0.206	0.022
4032.031	0.192	0.022
4032.85	0.185	0.021
4033.669	0.18	0.021
4034.488	0.168	0.02
4035.307	0.164	0.02
4036.126	0.161	0.02
4036.945	0.171	0.021
4037.764	0.211	0.022
4038.583	0.235	0.023
4039.402	0.236	0.023
4040.221	0.239	0.023
4041.04	0.255	0.023
4041.859	0.252	0.023
4042.678	0.242	0.023
4043.497	0.236	0.023
4044.316	0.233	0.022
4045.135	0.217	0.022
4045.954	0.198	0.021
4046.773	0.183	0.021
4047.592	0.167	0.02
4048.411	0.161	0.021
4049.23	0.176	0.022
4050.049	0.208	0.023
4050.868	0.234	0.024
4051.687	0.238	0.024
4052.506	0.253	0.024
4053.325	0.267	0.024
4054.144	0.262	0.024
4054.963	0.248	0.023
4055.782	0.239	0.022
4056.601	0.241	0.022
4057.42	0.247	0.023
4058.239	0.251	0.023
4059.058	0.257	0.023
4059.877	0.244	0.022
4060.696	0.228	0.022
4061.515	0.235	0.022
4062.334	0.242	0.022
4063.153	0.238	0.022
4063.972	0.215	0.021
4064.791	0.179	0.02
4065.61	0.171	0.019
4066.429	0.187	0.02
4067.248	0.206	0.021
4068.067	0.215	0.021
4068.886	0.226	0.022
4069.705	0.233	0.022
4070.524	0.238	0.022
4071.343	0.24	0.022
4072.162	0.224	0.021
4072.981	0.21	0.021
4073.8	0.205	0.021
4074.619	0.213	0.021
4075.438	0.236	0.022
4076.257	0.242	0.022
4077.076	0.227	0.021
4077.895	0.212	0.021
4078.714	0.216	0.021
4079.533	0.209	0.021
4080.352	0.207	0.021
4081.171	0.22	0.021
4081.99	0.226	0.021
4082.809	0.232	0.022
4083.628	0.247	0.022
4084.447	0.259	0.022
4085.266	0.253	0.022
4086.085	0.246	0.022
4086.904	0.246	0.022
4087.723	0.262	0.022
4088.542	0.281	0.023
4089.361	0.27	0.023
4090.18	0.271	0.023
