#wave	flux	unc
3910	0.075	0.175
3910.819	0.169	0.176
3911.638	0.025	0.181
3912.457	0.114	0.184
3913.276	0.189	0.185
-3914.095	0.007	0.183
-3914.914	0.034	0.179
3915.733	0.115	0.178
3916.552	0.112	0.179
-3917.371	0.014	0.175
3918.19	0.132	0.167
3919.009	0.262	0.168
3919.828	0.15	0.172
-3920.647	0.017	0.171
3921.466	0.033	0.166
-3922.285	0.019	0.167
3923.104	0.027	0.166
3923.923	0.171	0.162
3924.742	0.151	0.164
3925.561	0.1	0.167
3926.38	0.073	0.166
3927.199	0.015	0.163
-3928.018	0.044	0.161
3928.837	0.093	0.159
3929.656	0.112	0.158
-3930.475	0.005	0.159
-3931.294	0.038	0.158
3932.113	0.012	0.159
3932.932	0.042	0.163
3933.751	0.064	0.164
3934.57	0.091	0.163
3935.389	0.019	0.166
-3936.208	0.109	0.163
-3937.027	0.052	0.157
3937.846	0.115	0.157
3938.665	0.017	0.164
-3939.484	0.03	0.17
3940.303	0.085	0.172
3941.122	0.195	0.175
3941.941	0.147	0.18
3942.76	0.118	0.182
3943.579	0.095	0.184
3944.398	0.107	0.186
3945.217	0.232	0.185
3946.036	0.28	0.186
3946.855	0.072	0.187
-3947.674	0.094	0.187
3948.493	0.07	0.189
3949.312	0.105	0.187
3950.131	0.068	0.18
3950.95	0.094	0.173
3951.769	0.142	0.175
3952.588	0.072	0.18
-3953.407	0.016	0.18
3954.226	0.057	0.176
3955.045	0.2	0.176
3955.864	0.083	0.176
3956.683	0.033	0.173
3957.502	0.037	0.173
-3958.321	0.066	0.178
-3959.14	0.152	0.18
3959.959	0.053	0.178
3960.778	0.234	0.178
3961.597	0.105	0.181
-3962.416	0.121	0.176
-3963.235	0.098	0.171
3964.054	0.005	0.166
3964.873	0.014	0.161
3965.692	0.006	0.157
3966.511	0.036	0.154
3967.33	0.019	0.15
3968.149	0.022	0.147
3968.968	0.119	0.146
3969.787	0.062	0.141
3970.606	0.01	0.141
3971.425	0.037	0.146
3972.244	0.061	0.149
3973.063	0.076	0.151
3973.882	0.019	0.155
-3974.701	0.042	0.159
-3975.52	0.017	0.16
3976.339	0.053	0.165
3977.158	0.131	0.167
3977.977	0.118	0.163
3978.796	0.043	0.16
3979.615	0.087	0.163
3980.434	0.115	0.168
3981.253	0.098	0.17
3982.072	0.046	0.168
-3982.891	0.051	0.165
-3983.71	0.058	0.165
-3984.529	0.018	0.165
3985.348	0.049	0.165
3986.167	0.165	0.163
3986.986	0.15	0.16
3987.805	0.109	0.163
3988.624	0.108	0.165
3989.443	0.08	0.162
3990.262	0.044	0.193
3991.081	0.046	0.284
3991.9	0.098	0.361
3992.719	0.159	0.337
3993.538	0.189	0.266
3994.357	0.292	0.241
3995.176	0.327	0.247
3995.995	0.187	0.251
3996.814	0.18	0.309
3997.633	0.435	0.354
3998.452	0.456	0.36
3999.271	0.119	0.32
4000.09	0.118	0.226
4000.909	0.05	0.196
-4001.728	0.045	0.186
4002.547	0.004	0.148
4003.366	0.048	0.146
4004.185	0.101	0.15
4005.004	0.093	0.146
4005.823	0.043	0.145
4006.642	0.077	0.149
4007.461	0.122	0.151
4008.28	0.086	0.152
-4009.099	0.021	0.154
-4009.918	0.073	0.157
4010.737	0.046	0.154
4011.556	0.181	0.154
4012.375	0.223	0.157
4013.194	0.242	0.157
4014.013	0.339	0.158
4014.832	0.337	0.155
4015.651	0.163	0.148
4016.47	0.029	0.143
4017.289	0.218	0.145
4018.108	0.293	0.147
4018.927	0.18	0.146
4019.746	0.129	0.148
4020.565	0.167	0.156
4021.384	0.014	0.162
-4022.203	0.07	0.16
4023.022	0.041	0.154
-4023.841	0.023	0.155
4024.66	0.009	0.155
4025.479	0.053	0.151
4026.298	0.01	0.145
4027.117	0.024	0.141
4027.936	0.056	0.139
4028.755	0.061	0.14
4029.574	0.066	0.139
4030.393	0.094	0.135
4031.212	0.031	0.133
-4032.031	0.02	0.133
4032.85	0.066	0.131
4033.669	0.203	0.13
4034.488	0.097	0.131
-4035.307	0.014	0.13
4036.126	0.054	0.13
4036.945	0.192	0.131
4037.764	0.193	0.129
4038.583	0.111	0.127
4039.402	0.052	0.127
4040.221	0.076	0.13
4041.04	0.177	0.134
4041.859	0.2	0.135
4042.678	0.187	0.136
4043.497	0.181	0.138
4044.316	0.096	0.143
4045.135	0.143	0.174
4045.954	0.129	0.223
-4046.773	0.03	0.259
-4047.592	0.031	0.259
4048.411	0.146	0.241
4049.23	0.193	0.216
4050.049	0.077	0.19
4050.868	0.058	0.164
4051.687	0.004	0.143
4052.506	0.033	0.131
4053.325	0.131	0.127
4054.144	0.138	0.127
4054.963	0.144	0.128
4055.782	0.103	0.126
4056.601	0.036	0.122
4057.42	0.01	0.12
-4058.239	0.021	0.119
4059.058	0.05	0.119
4059.877	0.165	0.119
4060.696	0.187	0.116
4061.515	0.14	0.116
4062.334	0.111	0.116
4063.153	0.117	0.117
4063.972	0.135	0.117
4064.791	0.152	0.117
4065.61	0.125	0.117
4066.429	0.114	0.117
4067.248	0.164	0.117
4068.067	0.208	0.116
4068.886	0.162	0.116
4069.705	0.111	0.114
4070.524	0.136	0.112
4071.343	0.171	0.111
4072.162	0.094	0.11
4072.981	0.085	0.11
4073.8	0.175	0.11
4074.619	0.178	0.111
4075.438	0.123	0.111
4076.257	0.153	0.115
4077.076	0.204	0.124
4077.895	0.136	0.13
4078.714	0.071	0.129
4079.533	0.009	0.125
-4080.352	0.014	0.122
4081.171	0.024	0.12
4081.99	0.048	0.118
4082.809	0.165	0.117
4083.628	0.198	0.115
4084.447	0.079	0.112
4085.266	0.12	0.111
4086.085	0.05	0.111
-4086.904	0.004	0.111
4087.723	0.097	0.11
4088.542	0.135	0.11
4089.361	0.199	0.109
4090.18	0.217	0.107
4090.999	0.122	0.104
4091.818	0.024	0.103
4092.637	0.07	0.102
4093.456	0.113	0.102
4094.275	0.059	0.102
4095.094	0.013	0.102
4095.913	0.049	0.102
4096.732	0.099	0.102
4097.551	0.108	0.1
4098.37	0.1	0.098
4099.189	0.111	0.098
4100.008	0.126	0.1
4100.827	0.097	0.099
4101.646	0.051	0.096
4102.465	0.103	0.096
4103.284	0.107	0.096
4104.103	0.023	0.095
-4104.922	0.027	0.096
4105.741	0.043	0.096
4106.56	0.068	0.096
4107.379	0.095	0.098
4108.198	0.175	0.099
4109.017	0.162	0.098
4109.836	0.111	0.097
4110.655	0.101	0.096
4111.474	0.096	0.098
4112.293	0.012	0.1
-4113.112	0.003	0.098
4113.931	0.055	0.096
4114.75	0.084	0.097
4115.569	0.034	0.098
4116.388	0.022	0.099
4117.207	0.049	0.099
4118.026	0.096	0.098
4118.845	0.153	0.097
4119.664	0.131	0.096
4120.483	0.051	0.095
4121.302	0.037	0.095
4122.121	0.134	0.097
4122.94	0.174	0.099
4123.759	0.17	0.101
4124.578	0.141	0.101
4125.397	0.091	0.098
4126.216	0.072	0.099
4127.035	0.091	0.1
4127.854	0.1	0.099
4128.673	0.06	0.099
4129.492	0.018	0.098
4130.311	0.072	0.097
4131.13	0.138	0.098
4131.949	0.124	0.098
4132.768	0.094	0.099
4133.587	0.105	0.1
4134.406	0.111	0.101
4135.225	0.077	0.1
4136.044	0.067	0.1
4136.863	0.14	0.101
4137.682	0.142	0.101
4138.501	0.059	0.099
4139.32	0.063	0.1
4140.139	0.173	0.102
4140.958	0.17	0.102
4141.777	0.096	0.098
4142.596	0.118	0.096
4143.415	0.065	0.095
