#wave	flux	unc
3910	0.089	0.073
3910.819	0.02	0.071
3911.638	0.007	0.07
3912.457	0.032	0.071
3913.276	0.055	0.072
3914.095	0.083	0.073
3914.914	0.064	0.073
3915.733	0.054	0.072
3916.552	0.091	0.073
3917.371	0.124	0.075
3918.19	0.068	0.074
3919.009	0.019	0.072
3919.828	0.009	0.071
3920.647	0.007	0.07
3921.466	0.039	0.067
3922.285	0.025	0.064
3923.104	0.031	0.063
3923.923	0.099	0.064
3924.742	0.078	0.063
3925.561	0.023	0.061
3926.38	0.008	0.059
3927.199	0.028	0.058
3928.018	0.033	0.056
3928.837	0.032	0.056
3929.656	0.019	0.058
3930.475	0.0	0.057
3931.294	0.01	0.054
3932.113	0.032	0.054
3932.932	0.048	0.055
3933.751	0.052	0.054
3934.57	0.044	0.054
3935.389	0.028	0.053
3936.208	0.017	0.052
3937.027	0.02	0.051
3937.846	0.038	0.051
3938.665	0.058	0.052
3939.484	0.048	0.052
3940.303	0.031	0.053
3941.122	0.05	0.052
3941.941	0.065	0.05
3942.76	0.03	0.049
-3943.579	0.005	0.049
3944.398	0.018	0.049
3945.217	0.037	0.049
3946.036	0.021	0.049
3946.855	0.006	0.049
3947.674	0.029	0.049
3948.493	0.058	0.051
3949.312	0.058	0.052
3950.131	0.04	0.051
3950.95	0.031	0.05
3951.769	0.041	0.051
3952.588	0.053	0.051
3953.407	0.058	0.051
3954.226	0.068	0.05
3955.045	0.087	0.05
3955.864	0.068	0.049
3956.683	0.047	0.048
3957.502	0.055	0.047
3958.321	0.062	0.048
3959.14	0.049	0.047
3959.959	0.047	0.047
3960.778	0.062	0.047
3961.597	0.059	0.046
3962.416	0.032	0.044
3963.235	0.003	0.042
3964.054	0.007	0.042
3964.873	0.042	0.042
3965.692	0.055	0.043
3966.511	0.037	0.043
3967.33	0.029	0.043
3968.149	0.051	0.044
3968.968	0.047	0.043
3969.787	0.014	0.042
3970.606	0.006	0.04
3971.425	0.04	0.04
3972.244	0.041	0.039
3973.063	0.031	0.038
3973.882	0.041	0.039
3974.701	0.066	0.04
3975.52	0.069	0.039
3976.339	0.046	0.037
3977.158	0.03	0.036
3977.977	0.048	0.037
3978.796	0.085	0.039
3979.615	0.086	0.04
3980.434	0.084	0.04
3981.253	0.096	0.041
3982.072	0.081	0.04
3982.891	0.055	0.039
3983.71	0.069	0.04
3984.529	0.105	0.041
3985.348	0.094	0.041
3986.167	0.073	0.04
3986.986	0.093	0.04
3987.805	0.118	0.041
3988.624	0.092	0.04
3989.443	0.089	0.04
3990.262	0.089	0.04
3991.081	0.075	0.039
3991.9	0.068	0.038
3992.719	0.073	0.037
3993.538	0.067	0.037
3994.357	0.072	0.038
3995.176	0.102	0.038
3995.995	0.107	0.038
3996.814	0.103	0.038
3997.633	0.095	0.039
3998.452	0.073	0.038
3999.271	0.049	0.036
4000.09	0.07	0.037
4000.909	0.103	0.038
4001.728	0.101	0.037
4002.547	0.072	0.037
4003.366	0.056	0.037
4004.185	0.064	0.037
4005.004	0.08	0.038
4005.823	0.086	0.037
4006.642	0.085	0.037
4007.461	0.073	0.037
4008.28	0.074	0.036
4009.099	0.105	0.037
4009.918	0.093	0.037
4010.737	0.079	0.036
4011.556	0.085	0.037
4012.375	0.084	0.036
4013.194	0.087	0.037
4014.013	0.078	0.036
4014.832	0.06	0.036
4015.651	0.062	0.036
4016.47	0.09	0.038
4017.289	0.093	0.038
4018.108	0.083	0.037
4018.927	0.09	0.037
4019.746	0.077	0.037
4020.565	0.091	0.037
4021.384	0.11	0.038
4022.203	0.088	0.037
4023.022	0.055	0.035
4023.841	0.075	0.036
4024.66	0.108	0.037
4025.479	0.102	0.038
4026.298	0.082	0.037
4027.117	0.067	0.037
4027.936	0.08	0.038
4028.755	0.112	0.04
4029.574	0.118	0.041
4030.393	0.107	0.04
4031.212	0.087	0.038
4032.031	0.066	0.037
4032.85	0.057	0.036
4033.669	0.066	0.036
4034.488	0.073	0.035
4035.307	0.076	0.035
4036.126	0.087	0.036
4036.945	0.099	0.035
4037.764	0.099	0.035
4038.583	0.092	0.036
4039.402	0.09	0.036
4040.221	0.107	0.036
4041.04	0.114	0.036
4041.859	0.11	0.035
4042.678	0.121	0.036
4043.497	0.144	0.037
4044.316	0.131	0.037
4045.135	0.105	0.037
4045.954	0.097	0.035
4046.773	0.071	0.034
4047.592	0.058	0.033
4048.411	0.073	0.035
4049.23	0.082	0.036
4050.049	0.052	0.036
4050.868	0.062	0.04
4051.687	0.083	0.05
4052.506	0.078	0.061
4053.325	0.078	0.067
4054.144	0.074	0.065
4054.963	0.07	0.059
4055.782	0.08	0.052
4056.601	0.105	0.046
4057.42	0.125	0.043
4058.239	0.105	0.039
4059.058	0.082	0.036
4059.877	0.106	0.037
4060.696	0.097	0.036
4061.515	0.079	0.036
4062.334	0.086	0.036
4063.153	0.099	0.036
4063.972	0.076	0.035
4064.791	0.053	0.033
4065.61	0.05	0.032
4066.429	0.062	0.033
4067.248	0.088	0.035
4068.067	0.096	0.035
4068.886	0.082	0.035
4069.705	0.069	0.033
4070.524	0.064	0.034
4071.343	0.066	0.034
4072.162	0.076	0.034
4072.981	0.088	0.034
4073.8	0.088	0.034
4074.619	0.082	0.034
4075.438	0.076	0.033
4076.257	0.075	0.033
4077.076	0.088	0.034
4077.895	0.083	0.033
4078.714	0.066	0.032
4079.533	0.065	0.032
4080.352	0.083	0.033
4081.171	0.072	0.033
4081.99	0.074	0.033
4082.809	0.103	0.036
4083.628	0.115	0.038
4084.447	0.113	0.039
4085.266	0.086	0.038
4086.085	0.066	0.037
4086.904	0.092	0.037
4087.723	0.127	0.037
4088.542	0.133	0.037
4089.361	0.116	0.036
4090.18	0.111	0.036
4090.999	0.125	0.036
4091.818	0.127	0.036
4092.637	0.096	0.035
4093.456	0.063	0.033
4094.275	0.081	0.034
4095.094	0.1	0.034
4095.913	0.096	0.034
4096.732	0.093	0.033
4097.551	0.108	0.034
4098.37	0.087	0.032
4099.189	0.069	0.031
4100.008	0.076	0.031
4100.827	0.054	0.031
4101.646	0.046	0.03
4102.465	0.057	0.031
4103.284	0.063	0.03
4104.103	0.054	0.03
4104.922	0.049	0.03
4105.741	0.07	0.031
4106.56	0.095	0.033
