#wave	flux	unc
-3910	0.087	0.324
-3910.819	0.098	0.324
-3911.638	0.013	0.323
-3912.457	0.122	0.323
-3913.276	0.162	0.323
3914.095	0.045	0.322
3914.914	0.3	0.322
3915.733	0.248	0.321
-3916.552	0.082	0.321
-3917.371	0.024	0.32
3918.19	0.182	0.319
3919.009	0.071	0.318
3919.828	0.085	0.318
3920.647	0.076	0.317
3921.466	0.07	0.316
3922.285	0.188	0.315
3923.104	0.283	0.314
3923.923	0.049	0.313
-3924.742	0.023	0.311
3925.561	0.171	0.31
3926.38	0.019	0.309
-3927.199	0.102	0.308
3928.018	0.028	0.306
3928.837	0.124	0.305
-3929.656	0.125	0.304
-3930.475	0.24	0.299
-3931.294	0.087	0.292
3932.113	0.088	0.288
3932.932	0.079	0.287
3933.751	0.075	0.285
-3934.57	0.035	0.283
-3935.389	0.09	0.281
3936.208	0.068	0.279
3937.027	0.119	0.277
3937.846	0.073	0.275
3938.665	0.087	0.273
3939.484	0.143	0.271
3940.303	0.032	0.269
-3941.122	0.094	0.267
3941.941	0.025	0.265
3942.76	0.319	0.263
3943.579	0.378	0.261
3944.398	0.17	0.258
3945.217	0.089	0.256
3946.036	0.209	0.254
3946.855	0.207	0.252
3947.674	0.171	0.249
3948.493	0.255	0.247
3949.312	0.318	0.245
3950.131	0.193	0.243
3950.95	0.212	0.24
3951.769	0.236	0.238
3952.588	0.164	0.236
3953.407	0.089	0.233
3954.226	0.069	0.234
3955.045	0.04	0.236
3955.864	0.038	0.235
3956.683	0.198	0.232
3957.502	0.489	0.23
3958.321	0.334	0.228
3959.14	0.092	0.225
3959.959	0.137	0.223
3960.778	0.1	0.22
3961.597	0.088	0.218
3962.416	0.07	0.216
3963.235	0.063	0.213
3964.054	0.163	0.211
3964.873	0.164	0.209
3965.692	0.179	0.207
3966.511	0.225	0.204
3967.33	0.164	0.202
3968.149	0.111	0.2
3968.968	0.064	0.198
3969.787	0.003	0.196
-3970.606	0.016	0.193
3971.425	0.076	0.191
3972.244	0.091	0.189
3973.063	0.051	0.187
3973.882	0.054	0.185
3974.701	0.017	0.183
3975.52	0.112	0.181
3976.339	0.211	0.179
