#wave	flux	unc
4109.017	0.085	0.086
4109.836	0.094	0.087
4110.655	0.096	0.087
4111.474	0.067	0.086
4112.293	0.075	0.085
4113.112	0.095	0.087
4113.931	0.046	0.088
-4114.75	0.036	0.088
-4115.569	0.054	0.088
-4116.388	0.007	0.088
4117.207	0.028	0.089
4118.026	0.008	0.089
-4118.845	0.028	0.09
-4119.664	0.017	0.09
4120.483	0.048	0.089
4121.302	0.09	0.088
4122.121	0.053	0.086
4122.94	0.052	0.087
4123.759	0.106	0.089
4124.578	0.075	0.089
4125.397	0.081	0.088
4126.216	0.131	0.089
4127.035	0.138	0.09
4127.854	0.078	0.09
4128.673	0.075	0.089
4129.492	0.108	0.088
4130.311	0.102	0.089
4131.13	0.057	0.09
4131.949	0.068	0.09
4132.768	0.118	0.089
4133.587	0.117	0.087
4134.406	0.061	0.085
4135.225	0.094	0.086
4136.044	0.086	0.087
4136.863	0.032	0.088
4137.682	0.025	0.089
4138.501	0.033	0.089
4139.32	0.027	0.091
4140.139	0.063	0.092
4140.958	0.124	0.091
4141.777	0.066	0.091
4142.596	0.036	0.09
4143.415	0.061	0.091
4144.234	0.073	0.091
4145.053	0.057	0.087
4145.872	0.065	0.085
4146.691	0.034	0.086
-4147.51	0.007	0.088
4148.329	0.071	0.09
4149.148	0.139	0.091
4149.967	0.139	0.09
4150.786	0.154	0.088
4151.605	0.24	0.09
4152.424	0.199	0.092
4153.243	0.124	0.091
4154.062	0.113	0.09
4154.881	0.12	0.09
4155.7	0.084	0.09
4156.519	0.07	0.09
4157.338	0.078	0.09
4158.157	0.071	0.089
4158.976	0.089	0.09
4159.795	0.08	0.091
4160.614	0.073	0.091
4161.433	0.103	0.092
4162.252	0.099	0.094
4163.071	0.111	0.094
4163.89	0.12	0.094
4164.709	0.101	0.094
4165.528	0.087	0.094
4166.347	0.056	0.095
4167.166	0.028	0.096
4167.985	0.03	0.095
4168.804	0.052	0.094
4169.623	0.081	0.094
4170.442	0.146	0.096
4171.261	0.2	0.096
4172.08	0.149	0.094
4172.899	0.086	0.093
4173.718	0.06	0.092
4174.537	0.058	0.091
4175.356	0.054	0.089
4176.175	0.064	0.09
4176.994	0.089	0.091
4177.813	0.129	0.09
4178.632	0.17	0.09
4179.451	0.158	0.089
4180.27	0.063	0.088
4181.089	0.024	0.089
4181.908	0.108	0.09
4182.727	0.095	0.088
4183.546	0.057	0.086
4184.365	0.035	0.086
4185.184	0.037	0.087
4186.003	0.106	0.087
4186.822	0.091	0.087
4187.641	0.023	0.086
4188.46	0.018	0.085
4189.279	0.095	0.083
4190.098	0.213	0.085
4190.917	0.223	0.087
4191.736	0.128	0.087
4192.555	0.105	0.086
4193.374	0.105	0.087
4194.193	0.118	0.088
4195.012	0.143	0.089
4195.831	0.134	0.09
4196.65	0.048	0.088
4197.469	0.037	0.087
4198.288	0.087	0.087
