#wave	flux
2395.0	0.103327
2400.0	0.095712
2405.0	0.087335
2410.0	0.07239
2415.0	0.080136
2420.0	0.11253699999999998
2425.0	0.15679500000000002
2430.0	0.179345
2435.0	0.167856
2440.0	0.145196
2445.0	0.163471
2450.0	0.151344
2455.0	0.130922
2460.0	0.144433
2465.0	0.150353
2470.0	0.15204
2475.0	0.150604
2480.0	0.152006
2485.0	0.127663
2490.0	0.10873599999999999
2495.0	0.109876
2500.0	0.16397
2505.0	0.16146300000000002
2510.0	0.130814
2515.0	0.120778
2520.0	0.091237
2525.0	0.07958
2530.0	0.094871
2535.0	0.102724
2540.0	0.11373699999999999
2545.0	0.119227
2550.0	0.115717
2555.0	0.135916
2560.0	0.15655
2565.0	0.175156
2570.0	0.203306
2575.0	0.218433
2580.0	0.196499
2585.0	0.184753
2590.0	0.191858
2595.0	0.205614
2600.0	0.16880599999999998
2605.0	0.156887
2610.0	0.156353
2615.0	0.144206
2620.0	0.17698699999999998
2625.0	0.198121
2630.0	0.172326
2635.0	0.219925
2640.0	0.393978
2645.0	0.46303199999999994
2650.0	0.403352
2655.0	0.378008
2660.0	0.441586
2665.0	0.374231
2670.0	0.328639
2675.0	0.354147
2680.0	0.356668
2685.0	0.361764
2690.0	0.35332600000000003
2695.0	0.34981100000000004
2700.0	0.417405
2705.0	0.415538
2710.0	0.338723
2715.0	0.323216
2720.0	0.349916
2725.0	0.353704
2730.0	0.43960699999999997
2735.0	0.378865
2740.0	0.261228
2745.0	0.19217599999999999
2750.0	0.197574
2755.0	0.23835599999999998
2760.0	0.232212
2765.0	0.27915100000000004
2770.0	0.303197
2775.0	0.335158
2780.0	0.306244
2785.0	0.228404
2790.0	0.179767
2795.0	0.109607
2800.0	0.072523
2805.0	0.0759
2810.0	0.13815999999999998
2815.0	0.273095
2820.0	0.44776800000000005
2825.0	0.476492
2830.0	0.484283
2835.0	0.488469
2840.0	0.389736
2845.0	0.38268800000000003
2850.0	0.34863
2855.0	0.229016
2860.0	0.321538
2865.0	0.37482
2870.0	0.384273
2875.0	0.430608
2880.0	0.403478
2885.0	0.37658600000000003
2890.0	0.402989
2895.0	0.39955
2900.0	0.39148299999999997
2905.0	0.412998
2910.0	0.46875100000000003
2915.0	0.526463
2920.0	0.48084399999999994
2925.0	0.432539
2930.0	0.42532700000000007
2935.0	0.45121400000000006
2940.0	0.44817799999999997
2945.0	0.45520200000000005
2950.0	0.459992
2955.0	0.46492100000000003
2960.0	0.499471
2965.0	0.5046
2970.0	0.512582
2975.0	0.472862
2980.0	0.48492700000000005
2985.0	0.502343
2990.0	0.516893
2995.0	0.520202
3000.0	0.47781899999999994
3005.0	0.460421
3010.0	0.477126
3015.0	0.4708
3020.0	0.469919
3025.0	0.54275
3030.0	0.594194
3035.0	0.5821029999999999
3040.0	0.629134
3045.0	0.556008
3050.0	0.524996
3055.0	0.558715
3060.0	0.49900900000000004
3065.0	0.456959
3070.0	0.49541899999999994
3075.0	0.503158
3080.0	0.522123
3085.0	0.49340500000000004
3090.0	0.478625
3095.0	0.424166
3100.0	0.402291
3105.0	0.45161599999999996
3110.0	0.525622
3115.0	0.5455439999999999
3120.0	0.47632299999999994
3125.0	0.46402299999999996
3130.0	0.49370600000000003
3135.0	0.517833
3140.0	0.522211
3145.0	0.5060319999999999
3150.0	0.526924
3155.0	0.5080180000000001
3160.0	0.475803
3165.0	0.518442
3170.0	0.561796
3175.0	0.5581109999999999
3180.0	0.531697
3185.0	0.535118
3190.0	0.5522630000000001
3195.0	0.560875
3200.0	0.5819449999999999
3205.0	0.647008
3210.0	0.660149
3215.0	0.656504
3220.0	0.6307020000000001
3225.0	0.588227
3230.0	0.566334
3235.0	0.59335
3240.0	0.630106
3245.0	0.637645
3250.0	0.645355
3255.0	0.685063
3260.0	0.7300180000000001
3265.0	0.746156
3270.0	0.728733
3275.0	0.6868890000000001
3280.0	0.655961
3285.0	0.6670699999999999
3290.0	0.708264
3295.0	0.754965
3300.0	0.775154
3305.0	0.74857
3310.0	0.709415
3315.0	0.6948350000000001
3320.0	0.6993060000000001
3325.0	0.7078369999999999
3330.0	0.71026
3335.0	0.701946
3340.0	0.695597
3345.0	0.702055
3350.0	0.7074060000000001
3355.0	0.6966899999999999
3360.0	0.6755369999999999
3365.0	0.655192
3370.0	0.64878
3375.0	0.664244
3380.0	0.68693
3385.0	0.7005520000000001
3390.0	0.704902
3395.0	0.7031229999999999
3400.0	0.6956979999999999
3405.0	0.684467
3410.0	0.679343
3415.0	0.68785
3420.0	0.699869
3425.0	0.702671
3430.0	0.6907369999999999
3435.0	0.664697
3440.0	0.6425649999999999
3445.0	0.6406
3450.0	0.650666
3455.0	0.660824
3460.0	0.6683439999999999
3465.0	0.67218
3470.0	0.6688270000000001
3475.0	0.6566810000000001
3480.0	0.6442140000000001
3485.0	0.639993
3490.0	0.642881
3495.0	0.6508189999999999
3500.0	0.667745
3505.0	0.6939029999999999
3510.0	0.717513
3515.0	0.709288
3520.0	0.689107
3525.0	0.679936
3530.0	0.700207
3535.0	0.727878
3540.0	0.753031
3545.0	0.76928
3550.0	0.775917
3555.0	0.764201
3560.0	0.739179
3565.0	0.6994600000000001
3570.0	0.659621
3575.0	0.648167
3580.0	0.637617
3585.0	0.615791
3590.0	0.638267
3595.0	0.704865
3600.0	0.74188
3605.0	0.706254
3610.0	0.669126
3615.0	0.665555
3620.0	0.67805
3625.0	0.7133
3630.0	0.7222529999999999
3635.0	0.705516
3640.0	0.719024
3645.0	0.709965
3650.0	0.711956
3655.0	0.771516
3660.0	0.816337
3665.0	0.810519
3670.0	0.791132
3675.0	0.787734
3680.0	0.77084
3685.0	0.761674
3690.0	0.782792
3695.0	0.822522
3700.0	0.834694
3705.0	0.7850659999999999
3710.0	0.771537
3715.0	0.8030430000000001
3720.0	0.792201
3725.0	0.792208
3730.0	0.7858310000000001
3735.0	0.73398
3740.0	0.738426
3745.0	0.714006
3750.0	0.696345
3755.0	0.787892
3760.0	0.830318
3765.0	0.8205
3770.0	0.795554
3775.0	0.87213
3780.0	0.98224
3785.0	0.9899530000000001
3790.0	0.9048950000000001
3795.0	0.808779
3800.0	0.811884
3805.0	0.926686
3810.0	0.998965
3815.0	0.963508
3820.0	0.883034
3825.0	0.797528
3830.0	0.7062579999999999
3835.0	0.640407
3840.0	0.705688
3845.0	0.8718309999999999
3850.0	0.9839629999999999
3855.0	0.9943280000000001
3860.0	0.9700770000000001
3865.0	0.999993
3870.0	1.001095
3875.0	0.972454
