#wave	flux
1150.0	8.812428
1155.0	6.167391
1160.0	4.715561
1165.0	4.557346
1170.0	4.027705999999999
1175.0	3.7102510000000004
1180.0	3.672979
1185.0	2.774594
1190.0	1.55901
1195.0	1.061725
1200.0	0.86301
1205.0	0.44576000000000005
1210.0	0.229535
1215.0	0.216155
1220.0	0.25401
1225.0	0.483809
1230.0	1.192081
1235.0	2.093713
1240.0	2.976419
1245.0	3.537647
1250.0	3.779929
1255.0	3.7143800000000002
1260.0	3.179753
1265.0	3.4245360000000002
1270.0	4.316565
1275.0	4.567637
1280.0	4.852519999999999
1285.0	5.028935
1290.0	4.810798
1295.0	4.422797
1300.0	3.7737760000000002
1305.0	3.294207
1310.0	3.917732
1315.0	5.151247
1320.0	5.5183230000000005
1325.0	5.263555
1330.0	4.81567
1335.0	4.562165
1340.0	5.236618
1345.0	5.553298000000001
1350.0	5.308022
1355.0	5.268887
1360.0	5.096358
1365.0	4.8285279999999995
1370.0	4.806312999999999
1375.0	4.927198000000001
1380.0	4.988112999999999
1385.0	4.967805
1390.0	4.988962
1395.0	4.855275
1400.0	4.925387000000001
1405.0	4.798651
1410.0	4.667179
1415.0	4.744822
1420.0	4.7979519999999996
1425.0	4.924076
1430.0	4.850498
1435.0	4.759201999999999
1440.0	4.947818
1445.0	5.139431
1450.0	5.3243540000000005
1455.0	5.405449
1460.0	5.330183
1465.0	5.153117
1470.0	5.0529910000000005
1475.0	5.008876
1480.0	4.945396
1485.0	4.923493
1490.0	5.089139
1495.0	5.2885290000000005
1500.0	5.3690169999999995
1505.0	5.041369
1510.0	4.821732
1515.0	4.88488
1520.0	4.9421029999999995
1525.0	4.7255769999999995
1530.0	4.495641
1535.0	4.543299
1540.0	4.901769
1545.0	4.945507
1550.0	4.7573739999999995
1555.0	4.634947
1560.0	4.439932
1565.0	4.400276
1570.0	4.442527
1575.0	4.435236
1580.0	4.481184
1585.0	4.488576999999999
1590.0	4.47284
1595.0	4.444927
1600.0	4.299519999999999
1605.0	4.127983
1610.0	4.142284
1615.0	4.171114
1620.0	4.136080000000001
1625.0	4.096307
1630.0	4.09736
1635.0	4.058544
1640.0	3.958416
1645.0	3.942535
1650.0	3.896525
1655.0	3.732743
1660.0	3.7512019999999997
1665.0	3.8523099999999997
1670.0	3.747429
1675.0	3.739964
1680.0	3.851405
1685.0	3.870361
1690.0	3.887115
1695.0	3.935157
1700.0	3.9123160000000006
1705.0	3.79179
1710.0	3.738036
1715.0	3.622535
1720.0	3.539893
1725.0	3.4945019999999998
1730.0	3.539825
1735.0	3.623379
1740.0	3.7048
1745.0	3.73098
1750.0	3.750655
1755.0	3.7880559999999996
1760.0	3.63997
1765.0	3.55539
1770.0	3.590723
1775.0	3.612492
1780.0	3.573114
1785.0	3.265473
1790.0	3.141264
1795.0	3.577003
1800.0	3.7247790000000003
1805.0	3.713564
1810.0	3.70895
1815.0	3.7083440000000003
1820.0	3.6789370000000003
1825.0	3.600761
1830.0	3.534653
1835.0	3.501604
1840.0	3.453778
1845.0	3.3918839999999997
1850.0	3.3112510000000004
1855.0	3.2218299999999997
1860.0	3.214105
1865.0	3.296146
1870.0	3.395254
1875.0	3.427744
1880.0	3.372869
1885.0	3.28661
1890.0	3.230502
1895.0	3.2290200000000002
1900.0	3.246016
1905.0	3.20628
1910.0	3.156994
1915.0	3.123067
1920.0	3.1328810000000002
1925.0	3.140084
1930.0	3.156425
1935.0	3.2110369999999997
1940.0	3.2202
1945.0	3.234959
1950.0	3.195815
1955.0	3.080716
1960.0	3.023171
1965.0	3.041502
1970.0	3.00506
1975.0	3.0685689999999997
1980.0	3.1059189999999997
1985.0	3.0846259999999996
1990.0	3.052121
1995.0	2.935009
2000.0	2.895565
2005.0	2.94407
2010.0	2.9100509999999997
2015.0	2.901417
2020.0	2.925854
2025.0	2.904773
2030.0	2.869478
2035.0	2.828075
2040.0	2.834707
2045.0	2.85113
2050.0	2.928317
2055.0	2.892254
2060.0	2.734667
2065.0	2.743331
2070.0	2.730439
2075.0	2.807245
2080.0	2.857886
2085.0	2.803126
2090.0	2.824564
2095.0	2.792799
2100.0	2.694023
2105.0	2.631043
2110.0	2.6650650000000002
2115.0	2.705478
2120.0	2.66512
2125.0	2.671198
2130.0	2.716375
2135.0	2.578115
2140.0	2.489666
2145.0	2.505989
2150.0	2.531514
2155.0	2.625737
2160.0	2.565375
2165.0	2.446628
2170.0	2.372672
2175.0	2.3646529999999997
2180.0	2.370203
2185.0	2.4232970000000003
2190.0	2.477057
2195.0	2.4884150000000003
2200.0	2.4542740000000003
2205.0	2.376944
2210.0	2.309668
2215.0	2.258557
2220.0	2.258657
2225.0	2.258162
2230.0	2.143321
2235.0	2.249133
2240.0	2.306924
2245.0	2.214968
2250.0	2.171792
2255.0	2.216042
2260.0	2.211225
2265.0	2.190758
2270.0	2.195214
2275.0	2.3171049999999997
2280.0	2.398705
2285.0	2.276968
2290.0	2.270036
2295.0	2.289646
2300.0	2.2563419999999996
2305.0	2.255525
2310.0	2.1658020000000002
2315.0	2.175349
2320.0	2.1735849999999997
2325.0	2.159663
2330.0	2.083771
2335.0	2.061994
2340.0	2.02367
2345.0	1.971175
2350.0	2.001558
2355.0	2.017327
2360.0	2.079232
2365.0	2.033424
2370.0	2.0470610000000002
2375.0	2.045647
2380.0	1.9475060000000002
2385.0	1.8546150000000001
2390.0	1.846601
2395.0	1.879629
2400.0	1.899134
2405.0	1.922323
2410.0	1.857445
2415.0	1.9072369999999998
2420.0	1.9801630000000001
2425.0	1.953243
2430.0	1.991122
2435.0	1.9501400000000002
2440.0	1.9346139999999998
2445.0	1.9822099999999998
2450.0	1.998564
2455.0	2.046088
2460.0	2.069074
2465.0	2.054247
2470.0	1.9821830000000003
2475.0	1.923599
2480.0	1.940809
2485.0	1.997477
2490.0	1.9620349999999998
2495.0	1.96043
2500.0	2.0584279999999997
2505.0	2.096335
2510.0	2.004116
2515.0	1.9930459999999999
2520.0	1.9616650000000002
2525.0	1.8888459999999998
2530.0	1.927157
2535.0	1.9573939999999999
2540.0	1.9005900000000002
2545.0	1.889159
2550.0	1.902898
2555.0	1.9343540000000001
2560.0	1.935545
2565.0	1.9523529999999998
2570.0	2.020809
2575.0	2.026719
2580.0	1.7979669999999999
2585.0	1.720912
2590.0	1.889328
2595.0	2.006838
2600.0	1.9976880000000001
2605.0	1.9298990000000003
2610.0	1.898495
2615.0	1.9187470000000002
2620.0	1.9694
2625.0	1.965911
2630.0	1.9055830000000002
2635.0	1.9228869999999998
2640.0	1.9599810000000002
2645.0	1.982432
2650.0	2.032844
2655.0	2.0240240000000003
2660.0	1.986029
2665.0	1.934622
2670.0	1.877588
2675.0	1.911473
2680.0	1.970839
2685.0	2.0055419999999997
2690.0	1.9858349999999998
2695.0	1.9058259999999998
2700.0	1.8287
2705.0	1.833359
2710.0	1.8378720000000002
2715.0	1.83506
2720.0	1.8468689999999999
2725.0	1.831535
2730.0	1.828527
2735.0	1.8451369999999998
2740.0	1.831841
2745.0	1.777123
2750.0	1.76973
2755.0	1.763854
2760.0	1.766931
2765.0	1.792847
2770.0	1.7602400000000002
2775.0	1.757679
2780.0	1.798761
2785.0	1.7690720000000002
2790.0	1.7731970000000001
2795.0	1.7745990000000003
2800.0	1.6722099999999998
2805.0	1.658659
2810.0	1.7574560000000001
2815.0	1.843436
2820.0	1.881906
2825.0	1.8361419999999997
2830.0	1.745348
2835.0	1.7173459999999998
2840.0	1.7679799999999999
2845.0	1.77223
2850.0	1.787416
2855.0	1.785121
2860.0	1.8002349999999998
2865.0	1.776666
2870.0	1.7329849999999998
2875.0	1.7823509999999998
2880.0	1.757716
2885.0	1.750935
2890.0	1.757325
2895.0	1.776239
2900.0	1.781335
2905.0	1.808654
2910.0	1.8154580000000002
2915.0	1.834475
2920.0	1.811264
2925.0	1.745312
2930.0	1.7403279999999999
2935.0	1.7383099999999998
2940.0	1.691872
2945.0	1.7373009999999998
2950.0	1.760576
2955.0	1.802014
2960.0	1.786848
2965.0	1.744155
2970.0	1.724534
2975.0	1.7438740000000001
2980.0	1.753065
2985.0	1.741237
2990.0	1.716378
2995.0	1.695544
3000.0	1.702721
3005.0	1.7059669999999998
3010.0	1.7176509999999998
3015.0	1.6960169999999999
3020.0	1.6489630000000002
3025.0	1.624167
3030.0	1.625637
3035.0	1.6466180000000001
3040.0	1.622803
3045.0	1.635337
3050.0	1.625199
3055.0	1.602376
3060.0	1.603132
3065.0	1.576176
3070.0	1.58093
3075.0	1.5921239999999999
3080.0	1.615679
3085.0	1.608113
3090.0	1.620855
3095.0	1.638066
3100.0	1.650147
3105.0	1.601055
3110.0	1.58249
3115.0	1.610951
3120.0	1.629673
3125.0	1.6605509999999999
3130.0	1.6483240000000001
3135.0	1.6388220000000002
3140.0	1.606976
3145.0	1.600142
3150.0	1.6388150000000001
3155.0	1.646586
3160.0	1.595652
3165.0	1.5987790000000002
3170.0	1.623397
3175.0	1.6297549999999998
3180.0	1.590309
3185.0	1.582792
3190.0	1.601071
3195.0	1.620802
3200.0	1.629497
3205.0	1.624157
3210.0	1.608754
3215.0	1.5982370000000001
3220.0	1.584623
3225.0	1.560263
3230.0	1.541772
3235.0	1.543933
3240.0	1.549947
3245.0	1.542632
3250.0	1.534852
3255.0	1.5405739999999999
3260.0	1.548138
3265.0	1.544964
3270.0	1.5404360000000001
3275.0	1.542916
3280.0	1.534716
3285.0	1.503249
3290.0	1.4823600000000001
3295.0	1.501045
3300.0	1.5224600000000001
3305.0	1.509895
3310.0	1.4930219999999998
3315.0	1.504757
3320.0	1.524617
3325.0	1.526658
3330.0	1.516492
3335.0	1.504873
3340.0	1.491587
3345.0	1.476882
3350.0	1.473854
3355.0	1.490702
3360.0	1.503187
3365.0	1.48965
3370.0	1.471191
3375.0	1.4705139999999999
3380.0	1.473985
3385.0	1.465341
3390.0	1.454146
3395.0	1.45157
3400.0	1.449403
3405.0	1.4391610000000001
3410.0	1.4306530000000002
3415.0	1.433529
3420.0	1.438497
3425.0	1.4345379999999999
3430.0	1.422671
3435.0	1.408153
3440.0	1.401149
3445.0	1.4082370000000002
3450.0	1.4167379999999998
3455.0	1.413538
3460.0	1.4030479999999999
3465.0	1.393075
3470.0	1.387489
